profile_key,geelark_phone_id,business_name,home_lat,home_lng,business_lat,business_lng,nearby_1_lat,nearby_1_lng,nearby_2_lat,nearby_2_lng,onsite_1_lat,onsite_1_lng,branded_searches,search_terms,search_mode,business_goal,provisioned,maps_verified,gps_test_status,notes,source
acc_049,614216908010422642,Sidcup Plumbing & Heating,51.436536,0.101544,51.427684,0.101638,51.43024,0.109054,51.440205,0.109429,51.427612,0.101576,Sidcup Plumbing & Heating|Sidcup Plumbing & Heating Sidcup|Sidcup Plumbing & Heating opening hours|Sidcup Plumbing & Heating reviews|Sidcup Plumbing & Heating phone number|Sidcup Plumbing & Heating contact|Sidcup Plumbing & Heating services|Sidcup Plumbing & Heating prices|Sidcup Plumbing & Heating facebook|Sidcup Plumbing & Heating instagram|Sidcup Plumbing & Heating twitter|Sidcup Plumbing & Heating linkedin|Sidcup Plumbing & Heating website|Sidcup Plumbing & Heating address|Sidcup Plumbing & Heating near me|Sidcup Plumbing & Heating emergency|Sidcup Plumbing & Heating book appointment|Sidcup Plumbing & Heating directions|Sidcup Plumbing & Heating 4 Station Rd|best Sidcup Plumbing & Heating reviews,plumber sidcup|emergency plumber sidcup|boiler repair sidcup|local plumber sidcup|heating engineer sidcup|plumbing services sidcup|gas safe plumber sidcup|bathroom installation sidcup|leak repair sidcup|radiator repair sidcup|toilet repair sidcup|pipe replacement sidcup|kitchen plumber sidcup|shower installation sidcup|tap repair sidcup|drain unblocking sidcup|central heating sidcup|underfloor heating sidcup|plumbing company sidcup|24 hour plumber sidcup,discovery,review,0,0,UNKNOWN,Not tested recently,runs.sqlite
andrewjocobyte,614216790150480242,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.52,-0.1,,,The Dickens Inn near me,pub near me,discovery,review,1,1,NO_GOOGLE_ACCOUNT,Google account missing or dumpsys error,goal_a4_edge40.csv
azariahtrevino9987,614216867258564675,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,OK,Completed full Path A successfully in past runs,goal_a2_s17pro.csv
batch_01_phone1,614216822245294147,The Dickens Inn,51.500749,-0.128356,51.5013,-0.0886,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn St Katharine Docks,pub,discovery,review,1,1,UNKNOWN,Not tested recently,runs.sqlite
batch_01_phone2,614216908010422642,The Dickens Inn,51.500749,-0.128356,51.5013,-0.0886,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,Costa Coffee Tower Bridge,coffee,discovery,review,1,1,UNKNOWN,Not tested recently,runs.sqlite
batch_01_phone3,614216818470420547,The Dickens Inn,51.500749,-0.128356,51.5013,-0.0886,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,Pret A Manger near me,sandwich,discovery,review,1,1,UNKNOWN,Not tested recently,runs.sqlite
bensonmacrite,614216810182475843,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a3_a78.csv
billyhavenstock,614216794093125699,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.52,-0.1,,,The Dickens Inn near me,pub near me,discovery,review,1,1,TIMEOUT,15-minute timeout during run,goal_a4_q5.csv
bradyjazeel,614216786023284803,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,GPS_FAIL,Fake GPS returns near-zero coords; exclude from production,goal_a1_s23_2.csv
catherinewallis921,613135440043573595,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.52,-0.1,,,The Dickens Inn near me,pub near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a6_s7.csv
cleoperry9987,614216847293677635,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a3_9i.csv
crystalwiggins9533,614216863500468594,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,GPS_FAIL,Fake GPS returns near-zero coords; exclude from production,goal_a2_y77.csv
dickens_24,614216822245294147,The Dickens Inn,51.5073,-0.0716,51.5073,-0.0716,51.5073,-0.0716,51.5073,-0.0716,51.5073,-0.0716,The Dickens Inn St Katharine Docks,pub,discovery,review,1,1,UNKNOWN,Not tested recently,runs.sqlite
