phone_model,source_file,account_id,geelark_phone_id,business_name,home_lat,home_lng,business_lat,business_lng,nearby_1_lat,nearby_1_lng,nearby_2_lat,nearby_2_lng,onsite_1_lat,onsite_1_lng,branded_searches,search_terms,search_mode,business_goal,provisioned,maps_verified,gps_test_status,notes
findx,goal_a1_findx,oakleighoneal9987,614216903581237315,Milestone Test Business,51.500749,-0.128356,51.501364,-0.088611,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,Milestone Test Business near me,emergency plumber|plumber near me,branded,review,true,true,UNKNOWN,Not tested recently
pixel7,goal_a1_pixel7_real,tannerchambers9987,614216911852404803,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,UNKNOWN,Not tested recently
s20,goal_a1_s20_reconfirm,williambrown314809,614216773910135154,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,UNKNOWN,Not tested recently
s22,goal_a1_s22,jacobsiesta38,614216798086103107,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,UNKNOWN,Not tested recently
s23_1,goal_a1_s23_1,sandeephassamatta,614216835079864690,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,GPS_FAIL,Fake GPS returns near-zero coords; exclude from production
s23_2,goal_a1_s23_2,bradyjazeel,614216786023284803,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,GPS_FAIL,Fake GPS returns near-zero coords; exclude from production
samsung,goal_a1_samsung_real,jakobebranch9987,614216883146588530,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,UNKNOWN,Not tested recently
x70,goal_a1_x70_real,gracelynvillanueva9987,614216895242960963,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,UNKNOWN,Not tested recently
y31,goal_a1_y31_real,luisamathis93437,614216886971793475,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,UNKNOWN,Not tested recently
galaxya22,goal_a2_galaxya22,priscillagiles9987,614216871117324355,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,OK,Completed full Path A successfully in past runs
galaxya51,goal_a2_galaxya51,marcinbagerman,614216843351031875,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,GPS_FAIL,Fake GPS returns near-zero coords; exclude from production
s17pro,goal_a2_s17pro,azariahtrevino9987,614216867258564675,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,OK,Completed full Path A successfully in past runs
y77,goal_a2_y77,crystalwiggins9533,614216863500468594,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,GPS_FAIL,Fake GPS returns near-zero coords; exclude from production
8i,goal_a3_8i,waylonswanson92387,614216851202768963,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,TIMEOUT,15-minute timeout during run
9i,goal_a3_9i,cleoperry9987,614216847293677635,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,UNKNOWN,Not tested recently
a78,goal_a3_a78,bensonmacrite,614216810182475843,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,UNKNOWN,Not tested recently
x50,goal_a3_x50,helenscott9987,614216854994420082,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,branded,review,true,true,GPS_FAIL,Fake GPS returns near-zero coords; exclude from production
edge40,goal_a4_edge40,andrewjocobyte,614216790150480242,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.5200,-0.1000,,,The Dickens Inn near me,pub near me,,review,1,1,NO_GOOGLE_ACCOUNT,Google account missing or dumpsys error
neo7,goal_a4_neo7,masonhaggerley,614216802213298243,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.5200,-0.1000,,,The Dickens Inn near me,pub near me,,review,1,1,GPS_INTERMITTENT,GPS sometimes works; needs monitoring
q5,goal_a4_q5,billyhavenstock,614216794093125699,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.5200,-0.1000,,,The Dickens Inn near me,pub near me,,review,1,1,TIMEOUT,15-minute timeout during run
s15e,goal_a4_s15e,vincehawthorne92,614216806256607602,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.5200,-0.1000,,,The Dickens Inn near me,pub near me,,review,1,1,PHONE_NO_START,Phone does not boot within 120s
galaxya22,goal_a5_galaxya22,paulshaw9211,613438578466226595,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.5200,-0.1000,,,The Dickens Inn near me,pub near me,,review,1,1,OK,Completed full Path A successfully in past runs
pixel7,goal_a5_pixel7,ellieallison9987,614216875076747634,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.5200,-0.1000,,,The Dickens Inn near me,pub near me,,review,1,1,OK,Completed full Path A successfully in past runs
y31,goal_a5_y31,valerieparrish94387,614216879120056690,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.5200,-0.1000,,,The Dickens Inn near me,pub near me,,review,1,1,GPS_FAIL,Fake GPS returns near-zero coords; exclude from production
y77,goal_a5_y77,oliverjohnsondrains,614216769833271363,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.5200,-0.1000,,,The Dickens Inn near me,pub near me,,review,1,1,UNKNOWN,Not tested recently
s7,goal_a6_s7,catherinewallis921,613135440043573595,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.5200,-0.1000,,,The Dickens Inn near me,pub near me,,review,1,1,UNKNOWN,Not tested recently
s9plus,goal_a6_s9plus,lornawilliamson921,613135434842636540,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.5200,-0.1000,,,The Dickens Inn near me,pub near me,,review,1,1,UNKNOWN,Not tested recently
y77,goal_a6_y77,sylviazimmer921,613286814907629987,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.5200,-0.1000,,,The Dickens Inn near me,pub near me,,review,1,1,UNKNOWN,Not tested recently
